"lemma","definition"
"phalsa","drought-resistant Asiatic treelike shrub bearing pleasantly acid small red edible fruits commonly used in sherbets"
"vegetable","any of various herbaceous plants cultivated for an edible part such as the fruit or the root of the beet or the leaf of spinach or the seeds of bean plants or the flower buds of broccoli or cauliflower"
"geebung","any of numerous shrubs and small trees having hard narrow leaves and long-lasting yellow or white flowers followed by small edible but insipid fruits"
"black huckleberry","low shrub of the eastern United States bearing shiny black edible fruit; best known of the huckleberries"
"gaylussacia baccata","low shrub of the eastern United States bearing shiny black edible fruit; best known of the huckleberries"
"european olive tree","evergreen tree cultivated in the Mediterranean region since antiquity and now elsewhere; has edible shiny black fruits"
"olea europaea","evergreen tree cultivated in the Mediterranean region since antiquity and now elsewhere; has edible shiny black fruits"
"olive","evergreen tree cultivated in the Mediterranean region since antiquity and now elsewhere; has edible shiny black fruits"
"anchovy pear","West Indian tree bearing edible fruit resembling mango"
"anchovy pear tree","West Indian tree bearing edible fruit resembling mango"
"grias cauliflora","West Indian tree bearing edible fruit resembling mango"
"eugenia jambos","tropical tree of the East Indies cultivated for its edible fruit"
"jambosa","tropical tree of the East Indies cultivated for its edible fruit"
"rose-apple tree","tropical tree of the East Indies cultivated for its edible fruit"
"rose apple","tropical tree of the East Indies cultivated for its edible fruit"
"feijoa","South American shrub having edible greenish plumlike fruit"
"feijoa bush","South American shrub having edible greenish plumlike fruit"
"jaboticaba","small evergreen tropical tree native to Brazil and West Indies but introduced into southern United States; grown in Brazil for its edible tough-skinned purple grapelike fruit that grows all along the branches"
"jaboticaba tree","small evergreen tropical tree native to Brazil and West Indies but introduced into southern United States; grown in Brazil for its edible tough-skinned purple grapelike fruit that grows all along the branches"
"myrciaria cauliflora","small evergreen tropical tree native to Brazil and West Indies but introduced into southern United States; grown in Brazil for its edible tough-skinned purple grapelike fruit that grows all along the branches"
"caltrop","a plant of the genus Trapa bearing spiny four-pronged edible nutlike fruits"
"water chestnut","a plant of the genus Trapa bearing spiny four-pronged edible nutlike fruits"
"water chestnut plant","a plant of the genus Trapa bearing spiny four-pronged edible nutlike fruits"
"dwarf banana","low-growing Asian banana tree cultivated especially in the West Indies for its clusters of edible yellow fruit"
"musa acuminata","low-growing Asian banana tree cultivated especially in the West Indies for its clusters of edible yellow fruit"
"musa paradisiaca","a banana tree bearing hanging clusters of edible angular greenish starchy fruits; tropics and subtropics"
"plantain","a banana tree bearing hanging clusters of edible angular greenish starchy fruits; tropics and subtropics"
"plantain tree","a banana tree bearing hanging clusters of edible angular greenish starchy fruits; tropics and subtropics"
"edible banana","widely cultivated species of banana trees bearing compact hanging clusters of commercially important edible yellow fruit"
"musa paradisiaca sapientum","widely cultivated species of banana trees bearing compact hanging clusters of commercially important edible yellow fruit"
"garcinia mangostana","East Indian tree with thick leathery leaves and edible fruit"
"mangosteen","East Indian tree with thick leathery leaves and edible fruit"
"mangosteen tree","East Indian tree with thick leathery leaves and edible fruit"
"genus mammea","American and Asiatic trees having edible one-seeded fruit"
"mammea","American and Asiatic trees having edible one-seeded fruit"
"mamey","tropical American tree having edible fruit with a leathery rind"
"mammea americana","tropical American tree having edible fruit with a leathery rind"
"mammee","tropical American tree having edible fruit with a leathery rind"
"mammee apple","tropical American tree having edible fruit with a leathery rind"
"mammee tree","tropical American tree having edible fruit with a leathery rind"
"actinidia arguta","climbing Asiatic vine having long finely serrate leaves and racemes of white flowers followed by greenish-yellow edible fruit"
"bower actinidia","climbing Asiatic vine having long finely serrate leaves and racemes of white flowers followed by greenish-yellow edible fruit"
"tara vine","climbing Asiatic vine having long finely serrate leaves and racemes of white flowers followed by greenish-yellow edible fruit"
"actinidia chinensis","climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat"
"actinidia deliciosa","climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat"
"chinese gooseberry","climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat"
"kiwi","climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat"
"kiwi vine","climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat"
"actinidia polygama","ornamental vine of eastern Asia having yellow edible fruit and leaves with silver-white markings"
"silver vine","ornamental vine of eastern Asia having yellow edible fruit and leaves with silver-white markings"
"silvervine","ornamental vine of eastern Asia having yellow edible fruit and leaves with silver-white markings"
"dovyalis caffra","vigorous South African spiny shrub grown for its round yellow juicy edible fruits"
"kei apple","vigorous South African spiny shrub grown for its round yellow juicy edible fruits"
"kei apple bush","vigorous South African spiny shrub grown for its round yellow juicy edible fruits"
"passionflower","any of various chiefly tropical American vines some bearing edible fruit"
"passionflower vine","any of various chiefly tropical American vines some bearing edible fruit"
"jamaica honeysuckle","West Indian passionflower; cultivated for its yellow edible fruit"
"passiflora laurifolia","West Indian passionflower; cultivated for its yellow edible fruit"
"yellow granadilla","West Indian passionflower; cultivated for its yellow edible fruit"
"passiflora maliformis","West Indian passionflower with edible apple-sized fruit"
"sweet calabash","West Indian passionflower with edible apple-sized fruit"
"mulberry","any of several trees of the genus Morus having edible fruit that resembles the blackberry"
"mulberry tree","any of several trees of the genus Morus having edible fruit that resembles the blackberry"
"morus rubra","North American mulberry having dark purple edible fruit"
"red mulberry","North American mulberry having dark purple edible fruit"
"artocarpus altilis","native to Pacific islands and having edible fruit with a texture like bread"
"artocarpus communis","native to Pacific islands and having edible fruit with a texture like bread"
"breadfruit","native to Pacific islands and having edible fruit with a texture like bread"
"breadfruit tree","native to Pacific islands and having edible fruit with a texture like bread"
"artocarpus heterophyllus","East Indian tree cultivated for its immense edible fruit and seeds"
"jackfruit","East Indian tree cultivated for its immense edible fruit and seeds"
"jackfruit tree","East Indian tree cultivated for its immense edible fruit and seeds"
"artocarpus odoratissima","Philippine tree similar to the breadfruit tree bearing edible fruit"
"marang","Philippine tree similar to the breadfruit tree bearing edible fruit"
"marang tree","Philippine tree similar to the breadfruit tree bearing edible fruit"
"common fig","Mediterranean tree widely cultivated for its edible fruit"
"common fig tree","Mediterranean tree widely cultivated for its edible fruit"
"ficus carica","Mediterranean tree widely cultivated for its edible fruit"
"fig","Mediterranean tree widely cultivated for its edible fruit"
"date palm","tall tropical feather palm tree native to Syria bearing sweet edible fruit"
"phoenix dactylifera","tall tropical feather palm tree native to Syria bearing sweet edible fruit"
"ananas comosus","a tropical American plant bearing a large fleshy edible fruit with a terminal tuft of stiff leaves; widely cultivated in the tropics"
"pineapple","a tropical American plant bearing a large fleshy edible fruit with a terminal tuft of stiff leaves; widely cultivated in the tropics"
"pineapple plant","a tropical American plant bearing a large fleshy edible fruit with a terminal tuft of stiff leaves; widely cultivated in the tropics"
"juneberry","any of various North American trees or shrubs having showy white flowers and edible blue-black or purplish fruit"
"service tree","any of various North American trees or shrubs having showy white flowers and edible blue-black or purplish fruit"
"serviceberry","any of various North American trees or shrubs having showy white flowers and edible blue-black or purplish fruit"
"shadblow","any of various North American trees or shrubs having showy white flowers and edible blue-black or purplish fruit"
"shadbush","any of various North American trees or shrubs having showy white flowers and edible blue-black or purplish fruit"
"chrysobalanus icaco","small tropical American tree bearing edible plumlike fruit"
"coco plum","small tropical American tree bearing edible plumlike fruit"
"coco plum tree","small tropical American tree bearing edible plumlike fruit"
"cocoa plum","small tropical American tree bearing edible plumlike fruit"
"icaco","small tropical American tree bearing edible plumlike fruit"
"strawberry","any of various low perennial herbs with many runners and bearing white flowers followed by edible fruits having many small achenes scattered on the surface of an enlarged red pulpy berry"
"apple tree","any tree of the genus Malus especially those bearing firm rounded edible fruits"
"apple","native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits"
"malus pumila","native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits"
"orchard apple tree","native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits"
"plum","any of several trees producing edible oval fruit having a smooth skin and a single hard stone"
"plum tree","any of several trees producing edible oval fruit having a smooth skin and a single hard stone"
"chickasaw plum","small native American shrubby tree bearing small edible yellow to reddish fruit"
"hog plum","small native American shrubby tree bearing small edible yellow to reddish fruit"
"hog plum bush","small native American shrubby tree bearing small edible yellow to reddish fruit"
"prunus angustifolia","small native American shrubby tree bearing small edible yellow to reddish fruit"
"beach plum","seacoast shrub of northeastern North America having showy white blossoms and edible purple fruit"
"beach plum bush","seacoast shrub of northeastern North America having showy white blossoms and edible purple fruit"
"prunus maritima","seacoast shrub of northeastern North America having showy white blossoms and edible purple fruit"
"damson plum","plum tree long cultivated for its edible fruit"
"damson plum tree","plum tree long cultivated for its edible fruit"
"prunus domestica insititia","plum tree long cultivated for its edible fruit"
"apricot","Asian tree having clusters of usually white blossoms and edible fruit resembling the peach"
"apricot tree","Asian tree having clusters of usually white blossoms and edible fruit resembling the peach"
"prunus avium","large Eurasian tree producing small dark bitter fruit in the wild but edible sweet fruit under cultivation"
"sweet cherry","large Eurasian tree producing small dark bitter fruit in the wild but edible sweet fruit under cultivation"
"prunus besseyi","dwarf ornamental shrub of western United States having large black to red and yellow sweet edible fruit"
"rocky mountains cherry","dwarf ornamental shrub of western United States having large black to red and yellow sweet edible fruit"
"western sand cherry","dwarf ornamental shrub of western United States having large black to red and yellow sweet edible fruit"
"capulin","Mexican black cherry tree having edible fruit"
"capulin tree","Mexican black cherry tree having edible fruit"
"prunus capuli","Mexican black cherry tree having edible fruit"
"cherry plum","small Asiatic tree bearing edible red or yellow fruit"
"myrobalan","small Asiatic tree bearing edible red or yellow fruit"
"myrobalan plum","small Asiatic tree bearing edible red or yellow fruit"
"prunus cerasifera","small Asiatic tree bearing edible red or yellow fruit"
"prunus cerasus","rather small Eurasian tree producing red to black acid edible fruit"
"sour cherry","rather small Eurasian tree producing red to black acid edible fruit"
"sour cherry tree","rather small Eurasian tree producing red to black acid edible fruit"
"prunus cuneata","small straggling American cherry growing on sandy soil and having minute scarcely edible purplish-black fruit"
"prunus pumila","small straggling American cherry growing on sandy soil and having minute scarcely edible purplish-black fruit"
"prunus pumilla susquehanae","small straggling American cherry growing on sandy soil and having minute scarcely edible purplish-black fruit"
"prunus susquehanae","small straggling American cherry growing on sandy soil and having minute scarcely edible purplish-black fruit"
"sand cherry","small straggling American cherry growing on sandy soil and having minute scarcely edible purplish-black fruit"
"black cherry","large North American wild cherry with round black sour edible fruit"
"black cherry tree","large North American wild cherry with round black sour edible fruit"
"prunus serotina","large North American wild cherry with round black sour edible fruit"
"rum cherry","large North American wild cherry with round black sour edible fruit"
"fruit tree","tree bearing edible fruit"
"bramble bush","any prickly shrub of the genus Rubus bearing edible aggregate fruits"
"service tree","medium-sized European tree resembling the rowan but bearing edible fruit"
"sorb apple","medium-sized European tree resembling the rowan but bearing edible fruit"
"sorb apple tree","medium-sized European tree resembling the rowan but bearing edible fruit"
"sorbus domestica","medium-sized European tree resembling the rowan but bearing edible fruit"
"sorbus torminalis","European tree bearing edible small speckled brown fruit"
"wild service tree","European tree bearing edible small speckled brown fruit"
"genus genipa","tropical American evergreen trees or shrubs bearing yellow flowers and succulent edible fruit with a thick rind"
"genipa","any tree of the genus Genipa bearing yellow flowers and edible fruit with a thick rind"
"genipa americana","tree of the West Indies and northern South America bearing succulent edible orange-sized fruit"
"genipap fruit","tree of the West Indies and northern South America bearing succulent edible orange-sized fruit"
"jagua","tree of the West Indies and northern South America bearing succulent edible orange-sized fruit"
"marmalade box","tree of the West Indies and northern South America bearing succulent edible orange-sized fruit"
"medlar","small deciduous tree of southern Africa having edible fruit"
"vangueria infausta","small deciduous tree of southern Africa having edible fruit"
"wild medlar","small deciduous tree of southern Africa having edible fruit"
"wild medlar tree","small deciduous tree of southern Africa having edible fruit"
"spanish tamarind","shrubby tree of Madagascar occasionally cultivated for its edible apple-shaped fruit"
"vangueria madagascariensis","shrubby tree of Madagascar occasionally cultivated for its edible apple-shaped fruit"
"acerola","tropical American shrub bearing edible acid red fruit resembling cherries"
"barbados cherry","tropical American shrub bearing edible acid red fruit resembling cherries"
"malpighia glabra","tropical American shrub bearing edible acid red fruit resembling cherries"
"surinam cherry","tropical American shrub bearing edible acid red fruit resembling cherries"
"west indian cherry","tropical American shrub bearing edible acid red fruit resembling cherries"
"citrus","any of numerous tropical usually thorny evergreen trees of the genus Citrus having leathery evergreen leaves and widely cultivated for their juicy edible fruits having leathery aromatic rinds"
"citrus tree","any of numerous tropical usually thorny evergreen trees of the genus Citrus having leathery evergreen leaves and widely cultivated for their juicy edible fruits having leathery aromatic rinds"
"citrus paradisi","citrus tree bearing large round edible fruit having a thick yellow rind and juicy somewhat acid pulp"
"grapefruit","citrus tree bearing large round edible fruit having a thick yellow rind and juicy somewhat acid pulp"
"cumquat","any of several trees or shrubs of the genus Fortunella bearing small orange-colored edible fruits with thick sweet-flavored skin and sour pulp"
"kumquat","any of several trees or shrubs of the genus Fortunella bearing small orange-colored edible fruits with thick sweet-flavored skin and sour pulp"
"kumquat tree","any of several trees or shrubs of the genus Fortunella bearing small orange-colored edible fruits with thick sweet-flavored skin and sour pulp"
"dika","African tree with edible yellow fruit resembling mangos; valued for its oil-rich seed and hardy green wood that resists termites"
"irvingia gabonensis","African tree with edible yellow fruit resembling mangos; valued for its oil-rich seed and hardy green wood that resists termites"
"wild mango","African tree with edible yellow fruit resembling mangos; valued for its oil-rich seed and hardy green wood that resists termites"
"wild mango tree","African tree with edible yellow fruit resembling mangos; valued for its oil-rich seed and hardy green wood that resists termites"
"dimocarpus longan","tree of southeastern Asia to Australia grown primarily for its sweet edible fruit resembling litchi nuts; sometimes placed in genera Euphorbia or Nephelium"
"euphorbia litchi","tree of southeastern Asia to Australia grown primarily for its sweet edible fruit resembling litchi nuts; sometimes placed in genera Euphorbia or Nephelium"
"longan","tree of southeastern Asia to Australia grown primarily for its sweet edible fruit resembling litchi nuts; sometimes placed in genera Euphorbia or Nephelium"
"longanberry","tree of southeastern Asia to Australia grown primarily for its sweet edible fruit resembling litchi nuts; sometimes placed in genera Euphorbia or Nephelium"
"lungen","tree of southeastern Asia to Australia grown primarily for its sweet edible fruit resembling litchi nuts; sometimes placed in genera Euphorbia or Nephelium"
"nephelium longana","tree of southeastern Asia to Australia grown primarily for its sweet edible fruit resembling litchi nuts; sometimes placed in genera Euphorbia or Nephelium"
"lichee","Chinese tree cultivated especially in Philippines and India for its edible fruit; sometimes placed in genus Nephelium"
"litchi","Chinese tree cultivated especially in Philippines and India for its edible fruit; sometimes placed in genus Nephelium"
"litchi chinensis","Chinese tree cultivated especially in Philippines and India for its edible fruit; sometimes placed in genus Nephelium"
"litchi tree","Chinese tree cultivated especially in Philippines and India for its edible fruit; sometimes placed in genus Nephelium"
"nephelium litchi","Chinese tree cultivated especially in Philippines and India for its edible fruit; sometimes placed in genus Nephelium"
"genip","tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp"
"ginep","tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp"
"honey berry","tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp"
"mamoncillo","tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp"
"melicocca bijuga","tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp"
"melicocca bijugatus","tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp"
"spanish lime","tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp"
"spanish lime tree","tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp"
"rhus trilobata","deciduous shrub of California with unpleasantly scented usually trifoliate leaves and edible fruit"
"skunkbush","deciduous shrub of California with unpleasantly scented usually trifoliate leaves and edible fruit"
"squaw-bush","deciduous shrub of California with unpleasantly scented usually trifoliate leaves and edible fruit"
"squawbush","deciduous shrub of California with unpleasantly scented usually trifoliate leaves and edible fruit"
"hog plum","tropical American tree having edible yellow fruit"
"spondias mombin","tropical American tree having edible yellow fruit"
"yellow mombin","tropical American tree having edible yellow fruit"
"yellow mombin tree","tropical American tree having edible yellow fruit"
"diospyros kaki","small deciduous Asiatic tree bearing large red or orange edible astringent fruit"
"japanese persimmon","small deciduous Asiatic tree bearing large red or orange edible astringent fruit"
"kaki","small deciduous Asiatic tree bearing large red or orange edible astringent fruit"
"date plum","an Asiatic persimmon tree cultivated for its small yellow or purplish-black edible fruit much valued by Afghan tribes"
"diospyros lotus","an Asiatic persimmon tree cultivated for its small yellow or purplish-black edible fruit much valued by Afghan tribes"
"family sapotaceae","tropical trees or shrubs with milky juice and often edible fleshy fruit"
"sapodilla family","tropical trees or shrubs with milky juice and often edible fleshy fruit"
"sapotaceae","tropical trees or shrubs with milky juice and often edible fleshy fruit"
"caimito","evergreen tree of West Indies and Central America having edible purple fruit star-shaped in cross section and dark green leaves with golden silky undersides"
"chrysophyllum cainito","evergreen tree of West Indies and Central America having edible purple fruit star-shaped in cross section and dark green leaves with golden silky undersides"
"star apple","evergreen tree of West Indies and Central America having edible purple fruit star-shaped in cross section and dark green leaves with golden silky undersides"
"achras zapota","large tropical American evergreen yielding chicle gum and edible fruit; sometimes placed in genus Achras"
"manilkara zapota","large tropical American evergreen yielding chicle gum and edible fruit; sometimes placed in genus Achras"
"sapodilla","large tropical American evergreen yielding chicle gum and edible fruit; sometimes placed in genus Achras"
"sapodilla tree","large tropical American evergreen yielding chicle gum and edible fruit; sometimes placed in genus Achras"
"genus pouteria","tropical American timber tree with edible fruit (canistel)"
"pouteria","tropical American timber tree with edible fruit (canistel)"
"canistel","tropical tree of Florida and West Indies yielding edible fruit"
"canistel tree","tropical tree of Florida and West Indies yielding edible fruit"
"pouteria campechiana nervosa","tropical tree of Florida and West Indies yielding edible fruit"
"calocarpum zapota","tropical American tree having wood like mahogany and sweet edible egg-shaped fruit; in some classifications placed in the genus Calocarpum"
"mammee","tropical American tree having wood like mahogany and sweet edible egg-shaped fruit; in some classifications placed in the genus Calocarpum"
"marmalade tree","tropical American tree having wood like mahogany and sweet edible egg-shaped fruit; in some classifications placed in the genus Calocarpum"
"pouteria zapota","tropical American tree having wood like mahogany and sweet edible egg-shaped fruit; in some classifications placed in the genus Calocarpum"
"sapote","tropical American tree having wood like mahogany and sweet edible egg-shaped fruit; in some classifications placed in the genus Calocarpum"
"nightshade","any of numerous shrubs or herbs or vines of the genus Solanum; most are poisonous though many bear edible fruit"
"kangaroo apple","Australian annual sometimes cultivated for its racemes of purple flowers and edible yellow egg-shaped fruit"
"poroporo","Australian annual sometimes cultivated for its racemes of purple flowers and edible yellow egg-shaped fruit"
"solanum aviculare","Australian annual sometimes cultivated for its racemes of purple flowers and edible yellow egg-shaped fruit"
"aubergine","hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable"
"brinjal","hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable"
"eggplant","hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable"
"eggplant bush","hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable"
"garden egg","hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable"
"mad apple","hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable"
"solanum melongena","hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable"
"naranjilla","small perennial shrub cultivated in uplands of South America for its edible bright orange fruits resembling tomatoes or oranges"
"solanum quitoense","small perennial shrub cultivated in uplands of South America for its edible bright orange fruits resembling tomatoes or oranges"
"tamarillo","South American arborescent shrub having pale pink blossoms followed by egg-shaped reddish-brown edible fruit somewhat resembling a tomato in flavor"
"tree tomato","South American arborescent shrub having pale pink blossoms followed by egg-shaped reddish-brown edible fruit somewhat resembling a tomato in flavor"
"cape gooseberry","annual of tropical South America having edible purple fruits"
"physalis peruviana","annual of tropical South America having edible purple fruits"
"purple ground cherry","annual of tropical South America having edible purple fruits"
"jamberry","annual of Mexico and southern United States having edible purplish viscid fruit resembling small tomatoes"
"mexican husk tomato","annual of Mexico and southern United States having edible purplish viscid fruit resembling small tomatoes"
"physalis ixocarpa","annual of Mexico and southern United States having edible purplish viscid fruit resembling small tomatoes"
"tomatillo","annual of Mexico and southern United States having edible purplish viscid fruit resembling small tomatoes"
"jamberry","Mexican annual naturalized in eastern North America having yellow to purple edible fruit resembling small tomatoes"
"miltomate","Mexican annual naturalized in eastern North America having yellow to purple edible fruit resembling small tomatoes"
"physalis philadelphica","Mexican annual naturalized in eastern North America having yellow to purple edible fruit resembling small tomatoes"
"purple ground cherry","Mexican annual naturalized in eastern North America having yellow to purple edible fruit resembling small tomatoes"
"tomatillo","Mexican annual naturalized in eastern North America having yellow to purple edible fruit resembling small tomatoes"
"cantharellus clavatus","an edible agaric with a brown fruiting body that is often compound"
"pig's ears","an edible agaric with a brown fruiting body that is often compound"
"sandy mushroom","an edible agaric that fruits in great clusters (especially in sandy soil under cottonwood trees)"
"tricholoma populinum","an edible agaric that fruits in great clusters (especially in sandy soil under cottonwood trees)"
"clitocybe subconnexa","an edible white agaric that fruits in dense clusters; the gills are narrow and crowded and the stalk is fleshy and unpolished"
"cup morel","an edible morel with a cup-shaped or saucer-shaped fruiting body can be up to 20 cm wide; the fertile surface inside the cup has wrinkles radiating from the center; can be easily confused with inedible mushrooms"
"disciotis venosa","an edible morel with a cup-shaped or saucer-shaped fruiting body can be up to 20 cm wide; the fertile surface inside the cup has wrinkles radiating from the center; can be easily confused with inedible mushrooms"
"suillus albivelatus","a short squat edible fungus with a reddish brown cap and white stalk; fruits under pines in the spring"
"kernel","the inner and usually edible part of a seed or grain or nut or fruit stone"
"meat","the inner and usually edible part of a seed or grain or nut or fruit stone"
"christ's-thorn","spiny tree having dark red edible fruits"
"jerusalem thorn","spiny tree having dark red edible fruits"
"jujube","spiny tree having dark red edible fruits"
"jujube bush","spiny tree having dark red edible fruits"
"ziziphus jujuba","spiny tree having dark red edible fruits"
