"POS","ID","PosScore","NegScore","SynsetTerms","Gloss"
"n","00736375",0,0.875,"shenanigan#1 roguishness#2 roguery#1 rascality#3 mischievousness#3 mischief-making#1 mischief#1 deviltry#2 devilry#2 devilment#1","reckless or malicious behavior that causes discomfort or annoyance in others"
"n","00736786",0,0.75,"hell#6 blaze#3","noisy and unrestrained mischief; \"raising blazes\""
"n","00740342",0,0.75,"culpable_negligence#1 criminal_negligence#1","(law) recklessly acting without reasonable caution and putting another person at risk of injury or death (or failing to do something with the same consequences)"
"n","00743155",0,0.625,"waste_of_energy#1 waste_of_effort#1","a useless effort"
"n","00744131",0,0.75,"wrong#2 legal_injury#1 damage#5","any harm or injury resulting from a violation of a legal right"
"n","00745943",0.444,0.556,"deviltry#1 devilry#1","wicked and cruel behavior"
"n","00758972",0.125,0.75,"wrath#2 ire#2 ira#3 anger#3","belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)"
"n","00775460",0,1,"abduction#1","the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife"
"n","00778213",0,0.625,"positive_fraud#1 fraud_in_fact#1","actual deceit; concealing something or making a false representation with an evil intent to cause injury to another"
"n","00788007",0,0.625,"mug's_game#1","a futile or unprofitable endeavor"
"n","00802238",0,0.625,"risk#2 peril#3 danger#2","a venture undertaken without regard to possible loss or injury; \"he saw the rewards but not the risks of crime\"; \"there was a danger he would do the wrong thing\""
"n","00823532",0,0.625,"defense#12 defence#11","the act of defending someone or something against attack or injury; \"a good boxer needs a good defense\"; \"defense against hurricanes is an urgent problem\""
"n","00823750",0,0.625,"defense#2 defence#10","protection from harm; \"sanitation is the best defense against disease\""
"n","00833491",0,0.625,"eupnoea#1 eupnea#1","normal relaxed breathing"
"n","00842597",0,0.75,"scatophagy#1","the eating of excrement or other filth"
"n","00885297",0,0.625,"adult_education#1","a course (via lectures or correspondence) for adults who are not otherwise engaged in formal study"
"n","00890568",0,0.625,"directed_study#1","a course of study that is supervised and controlled by a specialist in the subject; \"he registered for directed study\"; \"he got credit for directed study\"; \"he did directed study\""
"n","00914509",0,0.75,"underproduction#1","inadequate production or less than expected"
"n","00946806",0.125,0.625,"rummage#2 ransacking#1","a thorough search for something (often causing disorder or confusion); \"he gave the attic a good rummage but couldn't find his skis\""
"n","00947719",0,0.625,"misuse#1 abuse#3","improper or excessive use; \"alcohol abuse\"; \"the abuse of public funds\""
"n","00956340",0,0.75,"armageddon#2","any catastrophically destructive battle; \"they called the first World War an Armageddon\""
"n","00965183",0,0.625,"meat_grinder#2","any action resulting in injury or destruction; \"the meat grinder of politics destroyed his reputation\"; \"allied forces crumbled before the Wehrmacht meat grinder\""
"n","00967157",0,0.625,"ravaging#1 devastation#4","plundering with excessive damage and destruction"
"n","00982153",0,0.625,"current_intelligence#1","intelligence of all types and forms of immediate interest; usually disseminated without delays for evaluation or interpretation"
"n","00984357",0,0.625,"black_operation#1","a covert operation not attributable to the organization carrying it out"
"n","00989122",0,0.625,"deep_supporting_fire#1","fire on objectives not in the immediate vicinity of your forces but with the objective of destroying enemy reserves and weapons and interfering with the enemy command and supply and communications"
"n","00996056",0,0.625,"germ_warfare#1 bacteriological_warfare#1","the use of harmful bacteria as a weapon"
"n","01031563",0,0.625,"nudism#1 naturism#1","going without clothes as a social practice"
"n","01043820",0.125,0.625,"idolization#2 idolisation#2","the act of worshiping blindly and to excess"
"n","01055065",0,0.625,"concubinage#1","cohabitation without being legally married"
"n","01085567",0,0.75,"misdeal#1","an incorrect deal"
"n","01088857",0,0.625,"health_care#1","social insurance for the ill and injured"
"n","01154487",0,0.625,"cronyism#1","favoritism shown to friends and associates (as by appointing them to positions without regard for their qualifications)"
"n","01161161",0,0.625,"corporal_punishment#1","the infliction of physical injury on someone convicted of committing a crime"
"n","01162257",0,0.625,"self-flagellation#1","self-punishment inflicted by whipping"
"n","01176031",0,0.625,"wallop#2","a severe blow"
"n","01181475",0,0.625,"due_process_of_law#1 due_process#1","(law) the administration of justice according to established rules and principles; based on the principle that a person cannot be deprived of life or liberty or property without appropriate legal procedures and safeguards"
"n","01190561",0,0.625,"summary_judgment#1 summary_judgement#1 judgment_on_the_pleadings#1 judgement_on_the_pleadings#1","a judgment rendered by the court prior to a verdict because no material issue of fact exists and one party or the other is entitled to a judgment as a matter of law"
"n","01192814",0,0.625,"directed_verdict#1","a verdict entered by the court in a jury trial without consideration by the jury; \"there cannot be a directed verdict of guilty in a criminal trial\""
"n","01193044",0.125,0.625,"false_verdict#1","a manifestly unjust verdict; not true to the evidence"
"n","01194904",0,0.625,"eviction#1 constructive_eviction#1","action by a landlord that compels a tenant to leave the premises (as by rendering the premises unfit for occupancy); no physical expulsion or legal process is involved"
"n","01199035",0,0.75,"entrapment#1","a defense that claims the defendant would not have broken the law if not tricked into doing it by law enforcement officials"
"n","01200502",0,0.625,"fair_hearing#1","a hearing that is granted in extraordinary situations where the normal judicial process would be inadequate to secure due process because the person would be harmed or denied their rights before a judicial remedy became available (as in deportation or loss of welfare benefits)"
"n","01208924",0,0.75,"social_work#1","any of various services designed to aid the poor and aged and to increase the welfare of children"
"n","01211185",0.125,0.625,"comfort#7","assistance, such as that provided to an enemy or to a known criminal; \"it gave comfort to the enemy\""
"n","01212225",0,0.625,"rationalization#3 rationalisation#3","(mathematics) the simplification of an expression or equation by eliminating radicals without changing the value of the expression or the roots of the equation"
"n","01224346",0.125,0.75,"easiness#3","the quality of being easy in behavior or style; \"there was an easiness between them\"; \"a natural easiness of manner\""
"n","01250208",0,0.625,"emendation#1","a correction by emending; a correction resulting from critical editing"
"n","01259211",0.125,0.625,"revoke#1 renege#1","the mistake of not following suit when able to do so"
"n","01272367",0,0.625,"bosworth_field#1","the battle that ended the Wars of the Roses (1485); Richard III was killed and Henry Tudor was crowned as Henry VII"
"n","01327028",0,0.625,"anaerobe#1","an organism (especially a bacterium) that does not require air or free oxygen to live"
"n","01338178",0,0.625,"coxsackievirus#1 coxsackie_virus#1","enterovirus causing a disease resembling poliomyelitis but without paralysis"
"n","01341090",0,0.75,"rotavirus#1","the reovirus causing infant enteritis"
"n","01363887",0,0.75,"spirillum_minus#1 ratbite_fever_bacterium#1","a bacterium causing ratbite fever"
"n","01364866",0,0.625,"genus_bacteroides#1 bacteroides#1","type genus of Bacteroidaceae; genus of Gram-negative rodlike anaerobic bacteria producing no endospores and no pigment and living in the gut of man and animals"
"n","01372544",0,0.625,"genus_chlamydia#1","type genus of the family Chlamydiaceae: disease-causing parasites"
"n","01380754",0,0.625,"pneumococcus#1 diplococcus_pneumoniae#1","bacterium causing pneumonia in mice and humans"
"n","01383502",0.125,0.625,"leptospira#1","important pathogens causing Weil's disease or canicola fever"
"n","01404628",0,0.75,"rockweed#1","coarse brown seaweed growing on rocks exposed at low tide"
"n","01944955",0,0.625,"garden_snail#1","any of several inedible snails of the genus Helix; often destructive pests"
"n","02122510",0,0.625,"alley_cat#1","a homeless cat"
"n","02131076",0,0.625,"nimravus#1 genus_nimravus#1","false sabertoothed tigers"
"n","02134240",0,0.625,"melursus#1 genus_melursus#1","sloth bears; in some classifications not a separate genus from Ursus"
"n","02179891",0,0.75,"scolytus_multistriatus#1 dutch-elm_beetle#1","a vector of the fungus causing Dutch elm disease"
"n","02185007",0,0.75,"phthirus#1 phthirius#1 genus_phthirus#1 genus_phthirius#1","true lice: crab lice"
"n","02185337",0,0.625,"order_mallophaga#1 mallophaga#1","biting lice"
"n","02204722",0,0.625,"sciarid#1 sciara#1 fungus_gnat#1","minute blackish gregarious flies destructive to mushrooms and seedlings"
"n","02217050",0,0.625,"genus_amphibolips#1 amphibolips#1","cynipid gall wasps, especially causing oak-apple galls"
"n","02217563",0,0.625,"chalcidfly#1 chalcid_wasp#1 chalcid_fly#1 chalcid#1","any of various tiny insects whose larvae are parasites on eggs and larvae of other insects; many are beneficial in destroying injurious insects"
"n","02251067",0,0.75,"pseudococcus_fragilis#1 citrophilus_mealybug#1 citrophilous_mealybug#1","destructive especially to citrus"
"n","02312325",0,0.75,"leatherjacket#3","tough-skinned larva of certain crane flies"
"n","02477647",0,0.625,"genus_sivapithecus#1","extinct primates; lower Pliocene"
"n","02492833",0,0.625,"pithecia#1 genus_pithecia#1","sakis"
"n","02683936",0,0.625,"afterthought#2","an addition that was not included in the original plan; \"the garage was an afterthought\""
"n","02736645",0,0.625,"theater_in_the_round#1 arena_theater#1","a theater arranged with seats around at least three sides of the stage"
"n","02758270",0,0.75,"augean_stables#1","(Greek mythology) the extremely dirty stables that were finally cleaned by Hercules who diverted two rivers through them"
"n","02804772",0,0.875,"mongrel#1 bastard#3","derogatory term for a variation that is not genuine; something irregular or inferior or of dubious origin; \"the architecture was a kind of bastard suggesting Gothic but not true Gothic\""
"n","02990561",0,0.625,"celecoxib#1 celebrex#1","a Cox-2 inhibitor (trade name Celebrex) that relieves pain and inflammation without harming the digestive tract"
"n","03114041",0,0.625,"costume#2","unusual or period attire not characteristic of or appropriate to the time and place; \"in spite of the heat he insisted on his woolen costume\""
"n","03136051",0,0.625,"crossbench#1","any of the seats in the House of Commons used by members who do not vote regularly with either the government or the Opposition"
"n","03155334",0,0.625,"flexeril#1 cyclobenzaprine#1","muscle relaxant (trade name Flexeril) used for muscle spasms or acute injury"
"n","03255167",0,0.75,"gravity_bomb#1 dumb_bomb#1","a bomb that falls because of gravity and is not guided to a target"
"n","03328392",0,0.75,"nalfon#1 fenoprofen_calcium#1 fenoprofen#1","a nonsteroidal anti-inflammatory drug (trade name Nalfon) used in the treatment of arthritis and other painful inflammatory disorders"
"n","03381776",0,0.75,"fore-and-aft_sail#1","any sail not set on a yard and whose normal position is in a fore-and-aft direction"
"n","03428571",0,0.625,"gateway_drug#1","a habit-forming drug that is not addictive but its use may lead to the use of other addictive drugs; \"one college athlete recently called beer a gateway drug for young people\""
"n","03553708",0,0.625,"hydromorphone_hydrochloride#1 hydromorphone#1 dilaudid#1","a narcotic analgesic (trade name Dilaudid) used to treat moderate to severe pain"
"n","03621935",0.125,0.75,"kitsch#1","excessively garish or sentimental art; usually considered in bad taste"
"n","03656374",0,0.875,"lenitive#1","remedy that eases pain and discomfort"
"n","03742531",0,0.625,"ponstel#1 mefenamic_acid#1","a nonsteroidal anti-inflammatory and analgesic drug (trade name Ponstel) used to treat mild pain (especially menstrual cramps)"
"n","03755712",0,0.625,"methotrexate_sodium#1 methotrexate#1 amethopterin#1","toxic antimetabolite that limits cellular reproduction by acting as an antagonist to folic acid; used to treat certain cancers and psoriasis and rheumatoid arthritis"
"n","03798061",0,0.75,"scuff#1 mule#2","a slipper that has no fitting around the heel"
"n","03807895",0,0.875,"naproxen#1 naprosyn#1","a nonsteroidal anti-inflammatory drug (trade name Naprosyn) used in the treatment of arthritis and musculoskeletal inflammation and moderate pain"
"n","03879854",0,0.625,"palliative#1 alleviator#2 alleviant#1","remedy that alleviates pain without curing"
"n","04076533",0,0.625,"reproduction#3 replication#6 replica#1","copy that is not the original; something that has been copied"
"n","04093775",0,0.75,"riot_gun#1","a firearm designed to disperse rioters rather than to inflict serious injury or death"
"n","04100994",0,0.625,"vioxx#1 rofecoxib#1","a Cox-2 inhibitor (trade name Vioxx) that relieves pain and inflammation without harming the digestive tract; voluntarily withdrawn from the market in 2004"
"n","04145735",0,0.875,"shlock#1 schlock#1 dreck#1","merchandise that is shoddy or inferior"
"n","04227787",0,0.625,"skew_arch#1","an arch whose jambs are not at right angles with the face"
"n","04308273",0,0.75,"stealth_bomber#1","a bomber that is difficult to detect by radar"
"n","04320731",0,0.75,"stinker#2","anything that gives off an offensive odor (especially a cheap cigar)"
"n","04494762",0,0.625,"tubeless_tire#1 tubeless#1","pneumatic tire not needing an inner tube to be airtight"
"n","04518468",0,0.625,"valdecoxib#1 bextra#1","a Cox-2 inhibitor (trade name Bextra) that relieves pain and inflammation without harming the digestive tract"
"n","04601159",0,0.75,"workhouse#1","a poorhouse where able-bodied poor are compelled to labor"
"n","04622415",0.125,0.625,"solitariness#2 lonesomeness#1 loneliness#3 aloneness#1","a disposition toward being alone"
"n","04624687",0,0.625,"bloodthirstiness#1 bloodiness#2","a disposition to shed blood"
"n","04625284",0,0.625,"uneasiness#5 restlessness#4 queasiness#2","inability to rest or relax or be still"
"n","04629194",0.25,0.625,"unemotionality#2 emotionlessness#2","absence of emotion"
"n","04630689",0.25,0.75,"sunshine#3 sunniness#2 cheerfulness#1 cheer#2","the quality of being cheerful and dispelling gloom; \"flowers added a note of cheerfulness to the drab room\""
"n","04631298",0.333,0.667,"uncheerfulness#2","not conducive to cheer or good spirits"
"n","04631470",0,0.875,"sadness#3 lugubriousness#1 gloominess#3","the quality of excessive mournfulness and uncheerfulness"
"n","04638857",0,0.625,"softness#10","a disposition to be lenient in judging others; \"softness is not something permitted of good leaders\""
"n","04639113",0.25,0.625,"unpermissiveness#1 restrictiveness#2","a lack of permissiveness or indulgence and a tendency to confine behavior within certain specified limits"
"n","04639732",0.125,0.625,"stiffness#5 severity#4 severeness#4 rigourousness#2 rigour#3 rigorousness#2 rigor#3 inclemency#2 harshness#4 hardness#5","excessive sternness; \"severity of character\"; \"the harshness of his punishment was inhuman\"; \"the rigors of boot camp\""
"n","04641447",0,0.875,"ill_nature#1","a disagreeable, irritable, or malevolent disposition"
"n","04641700",0,0.75,"crossness#2 crabbiness#1 crabbedness#1","a disposition to be ill-tempered"
"n","04641869",0,0.75,"grumpiness#1 crotchetiness#1 crankiness#1 contrariness#2","a fussy and eccentric disposition"
"n","04642057",0,0.75,"sullenness#2 sulkiness#3 sourness#3 moroseness#2","a sullen moody resentful disposition"
"n","04642980",0,0.625,"querulousness#1","the quality of being given to complaining"
"n","04643221",0,0.875,"disagreeableness#2","an ill-tempered and offensive disposition"
"n","04644161",0,0.625,"truculency#1 truculence#1","obstreperous and defiant aggressiveness"
"n","04648207",0,0.625,"frivolousness#1 frivolity#1","the trait of being frivolous; not serious or sensible"
"n","04648749",0.125,0.875,"levity#2","a manner lacking seriousness"
"n","04648866",0.25,0.75,"light-mindedness#1 flippancy#1","inappropriate levity; \"her mood changed and she was all lightness and joy\""
"n","04649651",0,0.75,"sauciness#1 pertness#1 perkiness#2 impertinence#3 archness#1","inappropriate playfulness"
"n","04653869",0,0.625,"gregariousness#1","the quality of being gregarious--having a dislike of being alone"
"n","04654998",0.375,0.625,"amicableness#2 amicability#2","having a disposition characterized by warmth and friendliness"
"n","04655929",0,0.625,"cordiality#1 amity#1","a cordial disposition"
"n","04657244",0.125,0.75,"unapproachability#1","a disposition to be unapproachable; unfriendly and inaccessible"
"n","04657876",0,0.875,"unfriendliness#2","an unfriendly disposition"
"n","04658106",0.125,0.75,"ill_will#2 hostility#1","a hostile (very unfriendly) disposition; \"he could not conceal his hostility\""
"n","04658686",0.25,0.75,"uncongeniality#1","a disposition not to be congenial"
"n","04658816",0,0.875,"unneighborliness#1","an unneighborly disposition"
"n","04660261",0.125,0.75,"rigidness#2 rigidity#2 inflexibility#2","the quality of being rigid and rigorously severe"
"n","04663319",0.125,0.625,"inattentiveness#2","the trait of not being considerate and thoughtful of others"
"n","04664964",0.125,0.75,"sloppiness#3 carelessness#1","the quality of not being careful or taking pains"
"n","04666083",0.25,0.625,"willful_neglect#1 dereliction#1 delinquency#2","a tendency to be negligent and uncaring; \"he inherited his delinquency from his father\"; \"his derelictions were not really intended as crimes\"; \"his adolescent protest consisted of willful neglect of all his responsibilities\""
"n","04666416",0.25,0.625,"slackness#3 remissness#1 laxness#1 laxity#2","the quality of being lax and neglectful"
"n","04670531",0,0.75,"untrustworthiness#1 untrustiness#1","the trait of not deserving trust or confidence"
"n","04671394",0.25,0.625,"unreliableness#1 unreliability#1 undependableness#1 undependability#1","the trait of not being dependable or reliable"
"n","04673341",0.125,0.625,"unconscientiousness#2","the trait of not being painstaking or careful"
"n","04673470",0,0.75,"unconcern#1 nonchalance#1 indifference#4","the trait of remaining calm and seeming not to care; a casual lack of concern"
"n","04683707",0,0.625,"hairlessness#2","the quality of not having hair"
"n","04690196",0,0.75,"ugliness#1","qualities of appearance that do not give pleasure to the senses"
"n","04690476",0,0.625,"unsightliness#1","ugliness that is unpleasant to look at"
"n","04690933",0.125,0.75,"unpleasingness#1","the quality of being unpleasant"
"n","04691651",0.125,0.625,"plainness#4 homeliness#2","an appearance that is not attractive or beautiful; \"fine clothes could not conceal the girl's homeliness\""
"n","04693096",0,0.625,"crack#7","a blemish resulting from a break without complete separation of the parts; \"there was a crack in the mirror\""
"n","04693717",0.125,0.625,"eyesore#1","something very ugly and offensive"
"n","04694980",0,0.625,"fingerprint#3 fingermark#1","a smudge made by a (dirty) finger"
"n","04695176",0,0.75,"stain#1 discolouration#1 discoloration#1","a soiled or discolored appearance; \"the wine left a dark stain\""
"n","04707964",0.125,0.625,"unobtrusiveness#1","the quality of not sticking out in an unwelcome way"
"n","04708543",0.125,0.625,"effortlessness#1","the quality of requiring little effort; \"such effortlessness is achieved only after hours of practice\""
"n","04709585",0.125,0.625,"effortfulness#1","the quality of requiring deliberate effort"
"n","04710588",0,0.875,"ruggedness#3 hardness#4","the quality of being difficult to do; \"he assigned a series of problems of increasing hardness\"; \"the ruggedness of his exams caused half the class to fail\""
"n","04711031",0.25,0.625,"oppressiveness#2 onerousness#1 heaviness#5 burdensomeness#1","unwelcome burdensome difficulty"
"n","04711256",0.125,0.75,"subtlety#2 niceness#3","the quality of being difficult to detect or analyze; \"you had to admire the subtlety of the distinctions he drew\""
"n","04711435",0,0.625,"worriment#1 troublesomeness#1 inconvenience#2","a difficulty that causes anxiety"
"n","04714440",0.125,0.75,"incompatibility#3","the quality of being unable to exist or work in congenial combination"
"n","04714847",0.125,0.875,"incongruousness#1 incongruity#1","the quality of disagreeing; being unsuitable and inappropriate"
"n","04719502",0.25,0.625,"impressiveness#2","the quality of making a strong or vivid impression on the mind"
"n","04721650",0.25,0.75,"unworthiness#2 inappropriateness#2","the quality of being not particularly suitable or befitting; \"he retracted nothing that he had said about the inappropriateness of either a corporeal God or a God who is a person\"; \"his praise released from her loud protestations of her unworthiness\""
"n","04722373",0,0.625,"unfitness#3","the quality of not being suitable; \"the judges agreed on his unfitness for the appointment\""
"n","04722715",0.125,0.75,"inconvenience#3","the quality of not being useful or convenient"
"n","04722910",0.25,0.625,"unavailability#1 inaccessibility#1","the quality of not being available when needed"
"n","04730580",0.222,0.778,"low_quality#1 inferiority#2","an inferior quality"
"n","04731207",0,0.75,"second_class#2","not the highest quality in a classification"
"n","04734698",0.125,0.75,"shiftiness#2","the quality of being changeable in direction; \"the shiftiness of the wind caused the boat to veer unpredictably\""
"n","04737020",0.25,0.625,"inconvertibility#1","the quality of not being exchangeable; \"the inconvertibility of their currency made international trade impossible\""
"n","04742084",0.125,0.625,"unalterability#1","the quality of not being alterable"
"n","04742251",0.25,0.625,"incurability#2","incapability of being altered in disposition or habits; \"the incurability of his optimism\""
"n","04745370",0,0.625,"uniformness#1 uniformity#2","the quality of lacking diversity or variation (even to the point of boredom)"
"n","04748836",0.25,0.625,"difference#1","the quality of being unlike or dissimilar; \"there are many differences between jazz and rock\""
"n","04751098",0.125,0.625,"heterogeneousness#1 heterogeneity#1","the quality of being diverse and not comparable in kind"
"n","04752221",0,0.625,"inequality#1","lack of equality; \"the growing inequality between rich and poor\""
"n","04753929",0,0.625,"unavoidability#1 ineluctability#1","the quality of being impossible to avoid or evade"
"n","04755218",0.25,0.625,"positivity#5 positiveness#5 incontrovertibleness#1 incontrovertibility#1","the quality of being undeniable and not worth arguing about"
"n","04759712",0.25,0.625,"counterfactuality#1","the quality of being contrary to fact"
"n","04761517",0,0.625,"incorporeality#1 immateriality#2","the quality of not being physical; not consisting of matter"
"n","04769456",0,0.625,"invariability#1 evenness#2","a quality of uniformity and lack of variation"
"n","04770211",0,0.625,"unregularity#1 irregularity#2","not characterized by a fixed principle or rate; at irregular intervals"
"n","04770911",0.25,0.625,"wavering#2 fluctuation#3","the quality of being unsteady and subject to changes; \"he kept a record of price fluctuations\""
"n","04771890",0.125,0.625,"variability#2 unevenness#1","the quality of being uneven and lacking uniformity"
"n","04772691",0,0.625,"jaggedness#1","something irregular like a bump or crack in a smooth surface"
"n","04773182",0.125,0.625,"unsteadiness#2","the quality of being unsteady--varying and unpredictable"
"n","04778114",0,0.75,"granite#2","something having the quality of granite (unyielding firmness); \"a man of granite\""
"n","04779895",0.125,0.875,"disagreeableness#1","the quality of being disagreeable and unpleasant"
"n","04780114",0.444,0.556,"abrasiveness#2","the quality of being sharply disagreeable"
"n","04780232",0.125,0.75,"acridness#2 acridity#3","the quality of being sharply disagreeable in language or tone"
"n","04780755",0.125,0.75,"nastiness#3","the quality of being unpleasant; \"I flinched at the nastiness of his wound\""
"n","04780958",0.125,0.75,"offensiveness#1 odiousness#1 distastefulness#2","the quality of being offensive"
"n","04781967",0,0.75,"beastliness#2","unpleasant nastiness; used especially of nasty weather"
"n","04785669",0.25,0.75,"inconsequence#2 illogicalness#1 illogicality#1 illogic#1","invalid or incorrect reasoning"
"n","04787530",0,0.875,"unnaturalness#1","the quality of being unnatural or not based on natural principles"
"n","04787763",0.125,0.625,"affectedness#1","the quality of being false or artificial (as to impress others)"
"n","04788853",0,0.75,"pretension#1 pretense#4 pretence#1","a false or unsupportable quality"
"n","04790449",0.125,0.75,"unwholesomeness#1 morbidness#2 morbidity#3","the quality of being unhealthful and generally bad for you"
"n","04790942",0,0.75,"toxicity#2 perniciousness#1","grave harmfulness or deadliness"
"n","04791740",0.444,0.556,"unhealthfulness#1","the quality of promoting poor health"
"n","04792127",0.25,0.625,"satisfactoriness#1","the quality of giving satisfaction sufficient to meet a demand or requirement"
"n","04793925",0.125,0.75,"unacceptableness#1 unacceptability#1","unsatisfactoriness by virtue of not conforming to approved standards"
"n","04794236",0.125,0.75,"inadmissibility#1","unacceptability as a consequence of not being admissible"
"n","04794408",0.125,0.625,"impermissibility#1","inadmissibility as a consequence of not being permitted"
"n","04796086",0.125,0.75,"usualness#1","commonness by virtue of not being unusual"
"n","04798185",0,0.625,"freakishness#1 abnormality#3","marked strangeness as a consequence of being abnormal"
"n","04799344",0.125,0.625,"strangeness#3 foreignness#1 curiousness#2","the quality of being alien or not native; \"the strangeness of a foreigner\""
